id_ruta,ruta
0,"(5, 9, 10, 8, 6, 11, 4, 3, 7, 1, 2, 0)"
1,"(5, 9, 11, 4, 3, 7, 10, 8, 1, 2, 6, 0)"
2,"(5, 3, 6, 9, 11, 4, 7, 10, 8, 1, 2, 0)"
3,"(5, 9, 10, 11, 4, 3, 7, 8, 1, 2, 6, 0)"
4,"(5, 9, 3, 11, 4, 7, 10, 8, 1, 2, 6, 0)"
5,"(5, 10, 8, 9, 11, 4, 3, 7, 1, 2, 6, 0)"
6,"(5, 9, 10, 8, 11, 4, 3, 7, 1, 2, 6, 0)"
7,"(9, 3, 5, 11, 4, 7, 10, 8, 1, 2, 6, 0)"
8,"(5, 10, 9, 11, 4, 3, 7, 8, 1, 2, 6, 0)"
9,"(10, 8, 5, 9, 11, 4, 3, 7, 1, 2, 6, 0)"
10,"(5, 9, 3, 1, 11, 4, 7, 10, 8, 2, 6, 0)"
11,"(9, 5, 11, 4, 3, 7, 10, 8, 1, 2, 6, 0)"
12,"(5, 9, 6, 11, 4, 3, 7, 10, 8, 1, 2, 0)"
13,"(5, 9, 0, 11, 4, 3, 7, 10, 8, 1, 2, 6)"
14,"(9, 1, 5, 11, 4, 3, 7, 10, 8, 2, 6, 0)"
15,"(5, 10, 8, 6, 9, 11, 4, 3, 7, 1, 2, 0)"
16,"(5, 3, 9, 11, 4, 7, 10, 8, 1, 2, 6, 0)"
17,"(5, 3, 1, 9, 11, 4, 7, 10, 8, 2, 6, 0)"
18,"(10, 5, 9, 11, 4, 3, 7, 8, 1, 2, 6, 0)"
19,"(3, 5, 9, 11, 4, 7, 10, 8, 1, 2, 6, 0)"
20,"(1, 5, 9, 11, 4, 3, 7, 10, 8, 2, 6, 0)"
21,"(5, 10, 6, 9, 11, 4, 3, 7, 8, 1, 2, 0)"
22,"(9, 8, 5, 11, 4, 3, 7, 10, 1, 2, 6, 0)"
23,"(0, 5, 9, 11, 4, 3, 7, 10, 8, 1, 2, 6)"
24,"(5, 8, 6, 9, 11, 4, 3, 7, 10, 1, 2, 0)"
25,"(3, 6, 5, 9, 11, 4, 7, 10, 8, 1, 2, 0)"
26,"(5, 6, 9, 11, 4, 3, 7, 10, 8, 1, 2, 0)"
27,"(5, 9, 10, 6, 11, 4, 3, 7, 8, 1, 2, 0)"
28,"(6, 5, 9, 11, 4, 3, 7, 10, 8, 1, 2, 0)"
29,"(5, 2, 9, 11, 4, 3, 7, 10, 8, 1, 6, 0)"
30,"(5, 0, 9, 11, 4, 3, 7, 10, 8, 1, 2, 6)"
31,"(5, 8, 9, 11, 4, 3, 7, 10, 1, 2, 6, 0)"
32,"(5, 3, 2, 9, 11, 4, 7, 10, 8, 1, 6, 0)"
33,"(8, 5, 9, 11, 4, 3, 7, 10, 1, 2, 6, 0)"
34,"(5, 9, 3, 2, 11, 4, 7, 10, 8, 1, 6, 0)"
35,"(9, 10, 5, 11, 4, 3, 7, 8, 1, 2, 6, 0)"
36,"(9, 10, 8, 5, 11, 4, 3, 7, 1, 2, 6, 0)"
37,"(3, 2, 5, 9, 11, 4, 7, 10, 8, 1, 6, 0)"
38,"(9, 10, 6, 5, 11, 4, 3, 7, 8, 1, 2, 0)"
39,"(5, 1, 9, 11, 4, 3, 7, 10, 8, 2, 6, 0)"
40,"(10, 6, 5, 9, 11, 4, 3, 7, 8, 1, 2, 0)"
41,"(6, 0, 5, 9, 11, 4, 3, 7, 10, 8, 1, 2)"
42,"(3, 1, 6, 5, 9, 11, 4, 7, 10, 8, 2, 0)"
43,"(1, 2, 5, 9, 11, 4, 3, 7, 10, 8, 6, 0)"
44,"(9, 6, 5, 11, 4, 3, 7, 10, 8, 1, 2, 0)"
45,"(3, 1, 5, 9, 11, 4, 7, 10, 8, 2, 6, 0)"
46,"(5, 9, 2, 11, 4, 3, 7, 10, 8, 1, 6, 0)"
47,"(1, 6, 5, 9, 11, 4, 3, 7, 10, 8, 2, 0)"
48,"(5, 6, 0, 9, 11, 4, 3, 7, 10, 8, 1, 2)"
49,"(9, 3, 1, 5, 11, 4, 7, 10, 8, 2, 6, 0)"
50,"(5, 9, 1, 11, 4, 3, 7, 10, 8, 2, 6, 0)"
51,"(3, 2, 6, 5, 9, 11, 4, 7, 10, 8, 1, 0)"
52,"(2, 5, 9, 11, 4, 3, 7, 10, 8, 1, 6, 0)"
53,"(9, 0, 5, 11, 4, 3, 7, 10, 8, 1, 2, 6)"
54,"(5, 9, 6, 0, 11, 4, 3, 7, 10, 8, 1, 2)"
55,"(5, 2, 6, 9, 11, 4, 3, 7, 10, 8, 1, 0)"
56,"(9, 6, 0, 5, 11, 4, 3, 7, 10, 8, 1, 2)"
57,"(9, 10, 8, 6, 5, 11, 4, 3, 7, 1, 2, 0)"
58,"(2, 6, 5, 9, 11, 4, 3, 7, 10, 8, 1, 0)"
59,"(5, 9, 3, 1, 2, 11, 4, 7, 10, 8, 6, 0)"
60,"(10, 8, 6, 5, 9, 11, 4, 3, 7, 1, 2, 0)"
61,"(5, 9, 8, 11, 4, 3, 7, 10, 1, 2, 6, 0)"
62,"(5, 9, 3, 1, 6, 11, 4, 7, 10, 8, 2, 0)"
63,"(5, 9, 8, 6, 11, 4, 3, 7, 10, 1, 2, 0)"
64,"(5, 9, 3, 1, 2, 6, 11, 4, 7, 10, 8, 0)"
65,"(5, 9, 3, 2, 6, 11, 4, 7, 10, 8, 1, 0)"
66,"(5, 1, 2, 6, 9, 11, 4, 3, 7, 10, 8, 0)"
67,"(9, 1, 2, 6, 5, 11, 4, 3, 7, 10, 8, 0)"
68,"(9, 3, 6, 5, 11, 4, 7, 10, 8, 1, 2, 0)"
69,"(9, 3, 1, 2, 5, 11, 4, 7, 10, 8, 6, 0)"
70,"(5, 9, 3, 6, 11, 4, 7, 10, 8, 1, 2, 0)"
71,"(5, 1, 6, 9, 11, 4, 3, 7, 10, 8, 2, 0)"
72,"(5, 3, 1, 2, 9, 11, 4, 7, 10, 8, 6, 0)"
73,"(9, 2, 5, 11, 4, 3, 7, 10, 8, 1, 6, 0)"
74,"(9, 1, 2, 5, 11, 4, 3, 7, 10, 8, 6, 0)"
75,"(5, 9, 1, 2, 11, 4, 3, 7, 10, 8, 6, 0)"
76,"(5, 3, 2, 6, 9, 11, 4, 7, 10, 8, 1, 0)"
77,"(9, 8, 6, 5, 11, 4, 3, 7, 10, 1, 2, 0)"
78,"(9, 2, 6, 5, 11, 4, 3, 7, 10, 8, 1, 0)"
79,"(5, 9, 1, 6, 11, 4, 3, 7, 10, 8, 2, 0)"
80,"(9, 1, 6, 5, 11, 4, 3, 7, 10, 8, 2, 0)"
81,"(5, 3, 1, 6, 9, 11, 4, 7, 10, 8, 2, 0)"
82,"(8, 6, 5, 9, 11, 4, 3, 7, 10, 1, 2, 0)"
83,"(5, 1, 2, 9, 11, 4, 3, 7, 10, 8, 6, 0)"
84,"(5, 9, 2, 6, 11, 4, 3, 7, 10, 8, 1, 0)"
85,"(5, 9, 1, 2, 6, 11, 4, 3, 7, 10, 8, 0)"
86,"(9, 3, 2, 5, 11, 4, 7, 10, 8, 1, 6, 0)"
